title:Eleccion1, start timestamp:1649282178.571814, stop timestamp:1649282252.676100, headset type:EPOCPLUS, headset serial:4A2C0467, headset firmware:633, channels:67, sampling rate:eeg_128;mot_32, samples:9467      , version:2.1, 
Timestamp,EEG.Counter,EEG.Interpolated,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4,EEG.RawCq,EEG.Battery,EEG.BatteryPercent,MarkerIndex,MarkerType,MarkerValueInt,EEG.MarkerHardware,CQ.AF3,CQ.F7,CQ.F3,CQ.FC5,CQ.T7,CQ.P7,CQ.O1,CQ.O2,CQ.P8,CQ.T8,CQ.FC6,CQ.F4,CQ.F8,CQ.AF4,CQ.Overall,EQ.SampleRateQuality,EQ.OVERALL,EQ.AF3,EQ.F7,EQ.F3,EQ.FC5,EQ.T7,EQ.P7,EQ.O1,EQ.O2,EQ.P8,EQ.T8,EQ.FC6,EQ.F4,EQ.F8,EQ.AF4,MOT.CounterMems,MOT.InterpolatedMems,MOT.Q0,MOT.Q1,MOT.Q2,MOT.Q3,MOT.AccX,MOT.AccY,MOT.AccZ,MOT.MagX,MOT.MagY,MOT.MagZ
1649282178.838285,29.000000,0.000000,4232.820313,4240.897461,4233.589844,4230.256348,4277.051270,4250.384766,4233.974121,4229.487305,4248.461426,4283.333496,4212.179688,4228.846191,4237.820313,4229.871582,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.846110,30.000000,0.000000,4230.897461,4228.333496,4227.179688,4237.307617,4252.692383,4245.512695,4227.692383,4230.256348,4233.333496,4265.897461,4211.922852,4221.794922,4211.025879,4225.769043,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.853936,31.000000,0.000000,4244.102539,4256.410156,4240.897461,4263.077148,4216.666504,4250.128418,4235.512695,4233.974121,4208.333496,4280.641113,4229.743652,4231.282227,4218.461426,4239.487305,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.861762,32.000000,0.000000,4255.000000,4277.692383,4253.461426,4274.615234,4241.666504,4254.615234,4238.717773,4238.077148,4235.641113,4302.692383,4235.769043,4240.512695,4243.589844,4250.128418,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,8.000000,0.000000,0.463012,0.513184,-0.463013,0.554871,1.012223,-0.036622,0.029786,-27.066454,-95.854126,-0.598154
1649282178.869587,33.000000,0.000000,4247.179688,4249.102539,4239.230957,4244.743652,4288.846191,4249.743652,4221.538574,4231.538574,4265.769043,4273.974121,4218.974121,4228.717773,4233.974121,4237.051270,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.877413,34.000000,0.000000,4242.436035,4239.871582,4234.358887,4234.615234,4272.179688,4247.563965,4217.563965,4230.000000,4250.512695,4263.461426,4217.563965,4224.230957,4232.307617,4233.717773,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.885338,35.000000,0.000000,4249.358887,4267.436035,4248.974121,4260.512695,4243.974121,4251.410156,4232.307617,4236.922852,4241.025879,4305.512695,4228.717773,4238.333496,4262.436035,4246.538574,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.893264,36.000000,0.000000,4254.358887,4275.769043,4255.512695,4270.128418,4248.077148,4252.692383,4240.128418,4235.512695,4252.948730,4320.000000,4229.743652,4250.000000,4275.897461,4254.743652,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,9.000000,0.000000,0.463140,0.513245,-0.462891,0.554810,0.993179,-0.048341,0.029297,-26.468300,-94.807358,0.897231
1649282178.901089,37.000000,0.000000,4253.589844,4260.512695,4249.487305,4263.461426,4228.846191,4251.538574,4235.384766,4234.615234,4247.307617,4283.205078,4232.051270,4251.153809,4250.641113,4258.974121,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1649282178.908915,38.000000,0.000000,4237.820313,4251.666504,4230.769043,4259.358887,4231.153809,4249.487305,4229.102539,4230.000000,4232.051270,4259.358887,4228.205078,4238.974121,4228.077148,4252.179688,0.000000,1.000000,15.000000,,,,0.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,4.000000,100.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
